Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GENE qacC		-	54376.43	20.691000000000003	1	1	4910
Staphylococcus aureus GI 33390919		-	45791	17.424	0.864322	0.912338	5005
Staphylococcus lentus GENE repL		-	17664.02	6.722	1	1	2033
Staphylococcus lentus GENE ermC		-	13481.35	5.13	1	1	2005
Escherichia coli GENE aphA7		-	12355.5	4.702	0.95	0.95	1772
Klebsiella pneumoniae GENE tnpA		-	10234.89	3.895	0.933649	0.933649	984
Staphylococcus lentus GENE tetK		-	10213.4	3.8859999999999997	0.93985	0.93985	2291
Staphylococcus aureus GI 33390940		-	9856.24	3.75	0.64539	0.64539	2037
Proteus mirabilis GENE tnpA		-	9117.38	3.469	1	1	146
Staphylococcus lentus GENE pre		-	7933.34	3.019	0.837728	0.837728	1308
Staphylococcus lentus GENE repC		-	6073.22	2.311	0.767981	0.767981	767
Escherichia coli GENE qacEdelta1		-	6006.81	2.286	1	1	117
Staphylococcus aureus GENE thyA		-	5645.68	2.1479999999999997	0.751908	0.751908	748
Vibrio cholerae GENE intI1		-	5082.23	1.934	1	1	50
Enterococcus faecium GI 21886745		-	4576.36	1.7409999999999999	1	0.778135	34
Pseudomonas aeruginosa GENE tnpR		-	4561.13	1.736	0.435835	0.435835	856
Staphylococcus aureus GI 33390920		-	4425.4	1.6840000000000002	0.745223	0.745223	209
Enterococcus faecalis GI 48190		-	4129.87	1.5709999999999997	0.546751	0.546751	703
Staphylococcus aureus GI 33390942		-	3790.58	1.442	0.768293	0.768293	96
Staphylococcus aureus GENE 1602 Branch		-	3526.11	1.3419999999999999	0.555556	0.407143	69
Streptococcus pyogenes GENE msrD		-	3507.66	1.335	0.469725	0.469725	572
Staphylococcus aureus GENE dfrA		-	3150.98	1.199	0.497854	0.497854	245
Staphylococcus lentus GI 60416745		-	3147.21	1.198	1	1	19
Pseudomonas putida GENE qacEdelta1		-	2585.6	0.984	1	1	12
Parabacteroides distasonis GI 32395282		-	2540.46	0.967	0.597826	0.597826	56
Staphylococcus aureus GI 33390947		-	2241.14	0.853	0.548387	0.548387	38
Staphylococcus lentus GI 60416748		-	2163.7	0.823	0.5	0.5	27
Streptococcus pyogenes GI 52345271		-	2123.76	0.808	0.45977	0.45977	81
Staphylococcus aureus GI 33390945		-	1577.62	0.6	0.439394	0.439394	29
Klebsiella pneumoniae GI 42543951		-	919.68	0.35000000000000003	0.571429	0.571429	4
