Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcus	1269	11145.18	33.32	39242
Cutibacterium	1912216	4009.87	11.988	1036
Propionibacterium	1743	3808.21	11.385000000000002	86
Acinetobacter	469	3009.0499999999997	8.995999999999999	3167
Pseudonocardia	1847	1973.4	5.8999999999999995	5438
Corynebacterium	1716	1645.43	4.9190000000000005	20921
Staphylococcus	1279	1476.01	4.413	1017
Pseudomonas	286	1220.11	3.6470000000000002	4331
Lactobacillus	1578	714.62	2.136	1322
Kocuria	57493	595.99	1.7810000000000001	9169
Aerococcus	1375	528.17	1.5789999999999997	4822
Streptococcus	1301	478.07	1.429	709
Nesterenkonia	57494	410.46	1.2269999999999999	8797
Microbacterium	33882	355.82	1.064	1342
Aeromonas	642	350.83	1.049	31
Brachybacterium	43668	292	0.873	5626
Ochrobactrum	528	242.16	0.724	5749
Tropheryma	2038	225.15	0.673	631
Brevibacterium	1696	156.21	0.46699999999999997	3764
Propionimicrobium	203133	121.6	0.364	914
Xanthomonas	338	121.09	0.362	46
Enterococcus	1350	113.31	0.33899999999999997	6
Finegoldia	150022	103.35	0.309	65
Klebsiella	570	103.41	0.309	62
Rothia	32207	86.76	0.259	643
Haematobacter	366614	84.88	0.254	2141
Facklamia	66831	77.51	0.232	439
